,ID,Area Category,Rank Area Category,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Km Mandi,Tingkat/Lantai,Harga rata2 Komunitas,Harga Dipasarkan (dari Owner),Harga Terjual,Terjual/Belum,Encode Terjual/Belum,Status Kepemilikan,Rank Status Kepemilikan,Arah Hadap Rumah,Rank Arah Hadap Rumah,Posisi Rumah,Rank Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Pemilik Butuh Uang (Urgent),Encode Butuh Uang,Umur Bangunan,Siap Huni (Y/N),Furnish  (Y/N),Encode Furnish,Listed Berapa Lama,Encode Listed,Fasilitas Publik
100,,3,3,180.0,240.0,5,3,2.0,4000.0,4000.0,0.0,0,0,4,4,4,4,5,6,3,0,0.0,2.0,1,0,0,1,8.0,1
101,,3,3,66.0,198.0,4,4,3.0,1900.0,1600.0,0.0,0,0,2,3,2,2,5,6,2,0,0.0,1.0,1,0,0,1,8.0,1
102,,3,3,66.0,198.0,5,5,3.0,1900.0,1600.0,0.0,0,0,2,3,2,2,5,6,2,0,0.0,1.0,1,0,0,1,8.0,1
103,,3,3,66.0,198.0,6,6,3.0,1900.0,1600.0,0.0,0,0,2,3,2,2,5,6,2,0,0.0,1.0,1,0,0,1,8.0,1
104,,3,3,218.0,280.0,4,3,2.0,3600.0,3500.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,2.0,1,1,1,1,8.0,1
105,,3,3,96.0,74.0,4,3,2.0,2200.0,2200.0,0.0,0,0,4,4,4,4,5,6,3,0,0.0,1.0,1,0,0,1,8.0,1
106,,3,3,72.0,70.0,2,2,2.0,1300.0,1325.0,0.0,0,0,3,5,3,3,5,6,3,0,0.0,1.0,1,0,0,1,8.0,1
107,,3,3,48.0,57.0,2,2,2.0,1250.0,1250.0,0.0,0,0,2,3,1,1,5,6,3,0,0.0,1.0,1,0,0,1,8.0,1
108,,3,3,345.0,540.0,6,5,2.0,5800.0,5800.0,0.0,0,0,3,5,1,1,5,6,3,0,0.0,2.0,1,0,0,1,8.0,1
109,,3,3,315.0,315.0,3,2,1.0,4000.0,3600.0,0.0,0,0,3,5,3,3,5,6,3,0,0.0,3.0,0,0,0,1,8.0,1
110,,2,2,240.0,330.0,5,4,2.0,5100.0,5300.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,1.0,1,0,0,1,8.0,1
111,,3,3,144.0,170.0,4,4,2.0,4000.0,4300.0,0.0,0,0,3,5,3,3,5,6,3,0,0.0,1.0,1,1,1,1,8.0,2
112,,4,4,360.0,500.0,6,6,2.0,8000.0,10000.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,2.0,1,1,1,1,8.0,1
